"area_id","item_id","main_type","mid_type","sub_type","price","price_text","user_url","user_name","item_state","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m48482533428","エンタメ・ホビー","トレーディングカード","遊戯王","333","¥ 333","https://www.mercari.com/jp/u/570295338/","美愛ママ※姫アデノ長引く夜だけパターン","やや傷や汚れあり","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m74088286752","レディース","バッグ","マザーズバッグ","777","¥ 777","https://www.mercari.com/jp/u/689852872/","りんまま","やや傷や汚れあり","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m41854997854","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","パンツ","1100","¥ 1,100","https://www.mercari.com/jp/u/349716323/","RaR☆mam","目立った傷や汚れなし","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m79296962461","レディース","バッグ","ハンドバッグ","8100","¥ 8,100","https://www.mercari.com/jp/u/746817258/","rila","未使用に近い","送料込み(出品者負担)","未定","4~7日で発送",
"1","m53369793352","レディース","トップス","チュニック","599","¥ 599","https://www.mercari.com/jp/u/957057481/","mi ※お値下げ交渉→金額を提示してね","目立った傷や汚れなし","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m37160740355","インテリア・住まい・小物","キッチン/食器","食器","2800","¥ 2,800","https://www.mercari.com/jp/u/501096396/","KORONちゃん♫","新品、未使用","送料込み(出品者負担)","らくらくメルカリ便","1~2日で発送",
"1","m66187375829","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","2400","¥ 2,400","https://www.mercari.com/jp/u/266070853/","まる@プロフ読んで下さい","新品、未使用","送料込み(出品者負担)","未定","1~2日で発送",
"1","m75116213190","メンズ","帽子","キャップ","1222","¥ 1,222","https://www.mercari.com/jp/u/117138288/","まるがお","新品、未使用","送料込み(出品者負担)","未定","2~3日で発送",
"1","m79272984200","自動車・オートバイ","自動車","カタログ/マニュアル","1100","¥ 1,100","https://www.mercari.com/jp/u/395591626/","てっちい・プロフ読んでや","目立った傷や汚れなし","送料込み(出品者負担)","未定","2~3日で発送",
"1","m61186171356","自動車・オートバイ","オートバイ","国内オートバイ用パーツ","1200","¥ 1,200","https://www.mercari.com/jp/u/384807413/","さはら","傷や汚れあり","送料込み(出品者負担)","未定","4~7日で発送",
"1","m88746500597","レディース","アクセサリー","ピアス(両耳用)","7800","¥ 7,800","https://www.mercari.com/jp/u/268534323/","ウササン","新品、未使用","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
"1","m88578829546","スポーツ・レジャー","その他スポーツ","野球","1500","¥ 1,500","https://www.mercari.com/jp/u/121116579/","ファイターズジンくん","新品、未使用","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m94793163931","家電・スマホ・カメラ","PC/タブレット","PCパーツ","3600","¥ 3,600","https://www.mercari.com/jp/u/788974022/","みき","目立った傷や汚れなし","送料込み(出品者負担)","らくらくメルカリ便","4~7日で発送",
"1","m14055213322","エンタメ・ホビー","テレビゲーム","家庭用ゲームソフト","800","¥ 800","https://www.mercari.com/jp/u/874197670/","もっこり","やや傷や汚れあり","送料込み(出品者負担)","クリックポスト","1~2日で発送",
"1","m76960019327","自動車・オートバイ","オートバイ","国内オートバイ用パーツ","1200","¥ 1,200","https://www.mercari.com/jp/u/384807413/","さはら","傷や汚れあり","送料込み(出品者負担)","未定","4~7日で発送",
"1","m87773033982","レディース","ジャケット/アウター","テーラードジャケット","5999","¥ 5,999","https://www.mercari.com/jp/u/644933194/","ココナッツグローブ＊プロフ必読＊","目立った傷や汚れなし","送料込み(出品者負担)","未定","1~2日で発送",
"1","m87039233044","ベビー・キッズ","キッズ服(女の子用) 100cm~","トップス(トレーナー)","1300","¥ 1,300","https://www.mercari.com/jp/u/519726865/","はるたん☆","やや傷や汚れあり","送料込み(出品者負担)","未定","2~3日で発送",
"1","m51949490480","自動車・オートバイ","自動車","国内自動車用パーツ","2500","¥ 2,500","https://www.mercari.com/jp/u/810316861/","ひー","全体的に状態が悪い","着払い(購入者負担)","未定","2~3日で発送",
"1","m81268513457","メンズ","小物","ネックウォーマー","3902","¥ 3,902","https://www.mercari.com/jp/u/366147482/","Mogu→♥︎ラッピング無料です♥︎","新品、未使用","送料込み(出品者負担)","未定","2~3日で発送",
"1","m53075285402","コスメ・香水・美容","スキンケア/基礎化粧品","クレンジング/メイク落とし","2200","¥ 2,200","https://www.mercari.com/jp/u/133108634/","snow@お得なセット販売中！","新品、未使用","送料込み(出品者負担)","クリックポスト","4~7日で発送",
"1","m61620747833","コスメ・香水・美容","スキンケア/基礎化粧品","洗顔料","499","¥ 499","https://www.mercari.com/jp/u/885964728/","ぴーなつ 20日発送","新品、未使用","送料込み(出品者負担)","未定","4~7日で発送",
"1","m82255871128","レディース","ジャケット/アウター","ダッフルコート","1650","¥ 1,650","https://www.mercari.com/jp/u/683061584/","♡虹♡常識ない方お断り","目立った傷や汚れなし","送料込み(出品者負担)","ゆうゆうメルカリ便","1~2日で発送",
