"area_id","item_id","main_type","mid_type","sub_type","price","price_text","user_url","user_name","item_state","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m84011704444","レディース","ジャケット/アウター","毛皮/ファーコート","7000","¥ 7,000","https://www.mercari.com/jp/u/501031119/","peace ☆","目立った傷や汚れなし","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m28797692289","エンタメ・ホビー","本","住まい/暮らし/子育て","730","¥ 730","https://www.mercari.com/jp/u/318687800/","sakura","目立った傷や汚れなし","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m20223257768","スポーツ・レジャー","その他スポーツ","サッカー/フットサル","1300","¥ 1,300","https://www.mercari.com/jp/u/540806468/","ミニー","目立った傷や汚れなし","送料込み(出品者負担)","未定","2~3日で発送",
"1","m76906246980","その他","日用品/生活雑貨/旅行","タオル/バス用品","1000","¥ 1,000","https://www.mercari.com/jp/u/381053885/","ℳatan﻿♡","新品、未使用","送料込み(出品者負担)","未定","4~7日で発送",
"1","m93596345246","レディース","バッグ","トートバッグ","1300","¥ 1,300","https://www.mercari.com/jp/u/178227653/","YULA","目立った傷や汚れなし","送料込み(出品者負担)","未定","4~7日で発送",
"1","m51173426617","ベビー・キッズ","子ども用ファッション小物","その他","1790","¥ 1,790","https://www.mercari.com/jp/u/280453235/","Yukiii","新品、未使用","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
"1","m72005989750","家電・スマホ・カメラ","冷暖房/空調","空気清浄器","8500","¥ 8,500","https://www.mercari.com/jp/u/855386555/","ピッピ","やや傷や汚れあり","送料込み(出品者負担)","未定","4~7日で発送",
"1","m37241131875","レディース","帽子","キャップ","700","¥ 700","https://www.mercari.com/jp/u/609794237/","ナツ","未使用に近い","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m54068233263","レディース","トップス","Tシャツ/カットソー(半袖/袖なし)","444","¥ 444","https://www.mercari.com/jp/u/967791322/","MIMO","新品、未使用","送料込み(出品者負担)","ゆうゆうメルカリ便","4~7日で発送",
"1","m19109364313","スポーツ・レジャー","その他スポーツ","野球","1000","¥ 1,000","https://www.mercari.com/jp/u/482456807/","らんたん","目立った傷や汚れなし","送料込み(出品者負担)","らくらくメルカリ便","4~7日で発送",
